[2024-05-04 21:32:13] [INFO    ] discord.client: logging in using static token
[2024-05-04 21:32:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-05-04 21:32:14] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-05-04 21:32:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1236339462175199283', 'username': 'commitbot', 'avatar': None, 'discriminator': '6255', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-05-04 21:32:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-05-04 21:32:14] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-05-04 21:32:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1236339462175199283', 'name': 'commitbot', 'icon': None, 'description': 'bot for commit server ', 'type': None, 'bot': {'id': '1236339462175199283', 'username': 'commitbot', 'avatar': None, 'discriminator': '6255', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'bot_public': True, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': '29a565ccd794cbcf0516a5ff1979777cb800e0d1cc4c321c4f9d267f97a0a960', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '784959493347606529', 'username': 'rinto11804', 'avatar': '4fdf1e1855eeb8f0c8bc3b5885064568', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 15987653, 'global_name': 'Rinto Joseph T R', 'avatar_decoration_data': None, 'banner_color': '#f3f3c5', 'clan': None}, 'approximate_guild_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 196, 'monetization_state': 1, 'verification_eligibility_flags': 0, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-05-04 21:32:15] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-05-04 21:32:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-qvk9",{"micros":0.0}]']}}
[2024-05-04 21:32:15] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-05-04 21:32:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
